second,phase,rps
301,morning_ramp,136
302,morning_ramp,146
303,morning_ramp,140
304,morning_ramp,130
305,morning_ramp,130
306,morning_ramp,137
307,morning_ramp,155
308,morning_ramp,154
309,morning_ramp,157
310,morning_ramp,160
311,morning_ramp,141
312,morning_ramp,143
313,morning_ramp,140
314,morning_ramp,162
315,morning_ramp,167
316,morning_ramp,153
317,morning_ramp,161
318,morning_ramp,148
319,morning_ramp,174
320,morning_ramp,174
321,morning_ramp,179
322,morning_ramp,175
323,morning_ramp,179
324,morning_ramp,151
325,morning_ramp,177
326,morning_ramp,164
327,morning_ramp,186
328,morning_ramp,183
329,morning_ramp,187
330,morning_ramp,187
331,morning_ramp,169
332,morning_ramp,189
333,morning_ramp,166
334,morning_ramp,195
335,morning_ramp,196
336,morning_ramp,174
337,morning_ramp,197
338,morning_ramp,185
339,morning_ramp,181
340,morning_ramp,201
341,morning_ramp,181
342,morning_ramp,174
343,morning_ramp,182
344,morning_ramp,189
345,morning_ramp,211
346,morning_ramp,217
347,morning_ramp,191
348,morning_ramp,207
349,morning_ramp,198
350,morning_ramp,223
351,morning_ramp,207
352,morning_ramp,225
353,morning_ramp,192
354,morning_ramp,229
355,morning_ramp,197
356,morning_ramp,232
357,morning_ramp,203
358,morning_ramp,198
359,morning_ramp,213
360,morning_ramp,228
361,morning_ramp,211
362,morning_ramp,225
363,morning_ramp,222
364,morning_ramp,218
365,morning_ramp,228
366,morning_ramp,215
367,morning_ramp,237
368,morning_ramp,206
369,morning_ramp,250
370,morning_ramp,233
371,morning_ramp,243
372,morning_ramp,246
373,morning_ramp,244
374,morning_ramp,231
375,morning_ramp,218
376,morning_ramp,248
377,morning_ramp,233
378,morning_ramp,234
379,morning_ramp,261
380,morning_ramp,256
381,morning_ramp,237
382,morning_ramp,239
383,morning_ramp,245
384,morning_ramp,246
385,morning_ramp,242
386,morning_ramp,235
387,morning_ramp,251
388,morning_ramp,279
389,morning_ramp,267
390,morning_ramp,280
391,morning_ramp,267
392,morning_ramp,252
393,morning_ramp,266
394,morning_ramp,239
395,morning_ramp,255
396,morning_ramp,264
397,morning_ramp,274
398,morning_ramp,279
399,morning_ramp,270
400,morning_ramp,270
401,morning_ramp,259
402,morning_ramp,275
403,morning_ramp,300
404,morning_ramp,296
405,morning_ramp,262
406,morning_ramp,258
407,morning_ramp,284
408,morning_ramp,292
409,morning_ramp,277
410,morning_ramp,306
411,morning_ramp,303
412,morning_ramp,300
413,morning_ramp,276
414,morning_ramp,275
415,morning_ramp,266
416,morning_ramp,281
417,morning_ramp,296
418,morning_ramp,319
419,morning_ramp,274
420,morning_busy,294
421,morning_busy,309
422,morning_busy,277
423,morning_busy,313
424,morning_busy,298
425,morning_busy,280
426,morning_busy,309
427,morning_busy,263
428,morning_busy,316
429,morning_busy,317
430,morning_busy,269
431,morning_busy,292
432,morning_busy,274
433,morning_busy,329
434,morning_busy,297
435,morning_busy,264
436,morning_busy,278
437,morning_busy,320
438,morning_busy,292
439,morning_busy,316
440,morning_busy,306
441,morning_busy,329
442,morning_busy,301
443,morning_busy,325
444,morning_busy,321
445,morning_busy,301
446,morning_busy,308
447,morning_busy,293
448,morning_busy,315
449,morning_busy,295
450,morning_busy,319
451,morning_busy,308
452,morning_busy,289
453,morning_busy,274
454,morning_busy,273
455,morning_busy,300
456,morning_busy,308
457,morning_busy,291
458,morning_busy,298
459,morning_busy,273
460,morning_busy,260
461,morning_busy,274
462,morning_busy,272
463,morning_busy,276
464,morning_busy,290
465,morning_busy,262
466,morning_busy,269
467,morning_busy,300
468,morning_busy,301
469,morning_busy,256
470,morning_busy,280
471,morning_busy,289
472,morning_busy,280
473,morning_busy,265
474,morning_busy,279
475,morning_busy,312
476,morning_busy,290
477,morning_busy,297
478,morning_busy,308
479,morning_busy,302
480,morning_busy,275
481,morning_busy,249
482,morning_busy,273
483,morning_busy,300
484,morning_busy,306
485,morning_busy,313
486,morning_busy,276
487,morning_busy,298
488,morning_busy,284
489,morning_busy,288
490,morning_busy,262
491,morning_busy,261
492,morning_busy,276
493,morning_busy,248
494,morning_busy,268
495,morning_busy,291
496,morning_busy,272
497,morning_busy,256
498,morning_busy,276
499,morning_busy,253
500,morning_busy,286
501,morning_busy,246
502,morning_busy,270
503,morning_busy,281
504,morning_busy,245
505,morning_busy,286
506,morning_busy,252
507,morning_busy,273
508,morning_busy,246
509,morning_busy,267
510,morning_busy,256
511,morning_busy,263
512,morning_busy,291
513,morning_busy,266
514,morning_busy,290
515,morning_busy,295
516,morning_busy,257
517,morning_busy,246
518,morning_busy,241
519,morning_busy,275
520,morning_busy,305
521,morning_busy,262
522,morning_busy,281
523,morning_busy,290
524,morning_busy,281
525,morning_busy,287
526,morning_busy,300
527,morning_busy,251
528,morning_busy,239
529,morning_busy,247
530,morning_busy,245
531,morning_busy,280
532,morning_busy,273
533,morning_busy,250
534,morning_busy,281
535,morning_busy,285
536,morning_busy,246
537,morning_busy,274
538,morning_busy,283
539,morning_busy,242
540,morning_busy,287
541,morning_busy,296
542,morning_busy,241
543,morning_busy,235
544,morning_busy,253
545,morning_busy,276
546,morning_busy,294
547,morning_busy,258
548,morning_busy,278
549,morning_busy,237
550,morning_busy,276
551,morning_busy,271
552,morning_busy,238
553,morning_busy,280
554,morning_busy,285
555,morning_busy,269
556,morning_busy,238
557,morning_busy,292
558,morning_busy,279
559,morning_busy,252
560,morning_busy,256
561,morning_busy,253
562,morning_busy,261
563,morning_busy,250
564,morning_busy,282
565,morning_busy,280
566,morning_busy,235
567,morning_busy,288
568,morning_busy,267
569,morning_busy,279
570,morning_busy,271
571,morning_busy,254
572,morning_busy,272
573,morning_busy,286
574,morning_busy,243
575,morning_busy,276
576,morning_busy,259
577,morning_busy,255
578,morning_busy,252
579,morning_busy,270
580,morning_busy,241
581,morning_busy,277
582,morning_busy,275
583,morning_busy,229
584,morning_busy,277
585,morning_busy,238
586,morning_busy,251
587,morning_busy,260
588,morning_busy,246
589,morning_busy,224
590,morning_busy,274
591,morning_busy,233
592,morning_busy,235
593,morning_busy,270
594,morning_busy,242
595,morning_busy,274
596,morning_busy,263
597,morning_busy,237
598,morning_busy,221
599,morning_busy,277
600,lunch_spike,229
601,lunch_spike,264
602,lunch_spike,255
603,lunch_spike,272
604,lunch_spike,272
605,lunch_spike,273
606,lunch_spike,268
607,lunch_spike,287
608,lunch_spike,252
609,lunch_spike,262
610,lunch_spike,291
611,lunch_spike,272
612,lunch_spike,291
613,lunch_spike,288
614,lunch_spike,294
615,lunch_spike,291
616,lunch_spike,313
617,lunch_spike,291
618,lunch_spike,317
619,lunch_spike,294
620,lunch_spike,295
621,lunch_spike,290
622,lunch_spike,297
623,lunch_spike,295
624,lunch_spike,325
625,lunch_spike,343
626,lunch_spike,308
627,lunch_spike,313
628,lunch_spike,334
629,lunch_spike,353
630,lunch_spike,374
631,lunch_spike,346
632,lunch_spike,332
633,lunch_spike,322
634,lunch_spike,332
635,lunch_spike,337
636,lunch_spike,336
637,lunch_spike,327
638,lunch_spike,368
639,lunch_spike,352
640,lunch_spike,407
641,lunch_spike,378
642,lunch_spike,392
643,lunch_spike,352
644,lunch_spike,412
645,lunch_spike,386
646,lunch_spike,419
647,lunch_spike,398
648,lunch_spike,393
649,lunch_spike,394
650,lunch_spike,376
651,lunch_spike,368
652,lunch_spike,444
653,lunch_spike,409
654,lunch_spike,440
655,lunch_spike,409
656,lunch_spike,384
657,lunch_spike,434
658,lunch_spike,388
659,lunch_spike,399
660,lunch_spike,437
661,lunch_spike,418
662,lunch_spike,481
663,lunch_spike,407
664,lunch_spike,468
665,lunch_spike,457
666,lunch_spike,476
667,lunch_spike,428
668,lunch_spike,458
669,lunch_spike,455
670,lunch_spike,457
671,lunch_spike,499
672,lunch_spike,514
673,lunch_spike,453
674,lunch_spike,486
675,lunch_spike,488
676,lunch_spike,504
677,lunch_spike,527
678,lunch_spike,458
679,lunch_spike,461
680,lunch_spike,509
681,lunch_spike,462
682,lunch_spike,466
683,lunch_spike,459
684,lunch_spike,455
685,lunch_spike,503
686,lunch_spike,520
687,lunch_spike,492
688,lunch_spike,489
689,lunch_spike,542
690,afternoon,291
691,afternoon,278
692,afternoon,291
693,afternoon,304
694,afternoon,297
695,afternoon,288
696,afternoon,290
697,afternoon,306
698,afternoon,277
699,afternoon,284
700,afternoon,290
701,afternoon,305
702,afternoon,301
703,afternoon,258
704,afternoon,264
705,afternoon,272
706,afternoon,297
707,afternoon,287
708,afternoon,271
709,afternoon,262
710,afternoon,295
711,afternoon,295
712,afternoon,309
713,afternoon,284
714,afternoon,284
715,afternoon,261
716,afternoon,259
717,afternoon,281
718,afternoon,275
719,afternoon,271
720,afternoon,262
721,afternoon,312
722,afternoon,305
723,afternoon,291
724,afternoon,312
725,afternoon,315
726,afternoon,297
727,afternoon,274
728,afternoon,261
729,afternoon,302
730,afternoon,286
731,afternoon,297
732,afternoon,312
733,afternoon,270
734,afternoon,293
735,afternoon,296
736,afternoon,288
737,afternoon,265
738,afternoon,280
739,afternoon,280
740,afternoon,299
741,afternoon,310
742,afternoon,280
743,afternoon,301
744,afternoon,278
745,afternoon,316
746,afternoon,309
747,afternoon,294
748,afternoon,288
749,afternoon,280
750,afternoon,281
751,afternoon,319
752,afternoon,286
753,afternoon,293
754,afternoon,321
755,afternoon,302
756,afternoon,295
757,afternoon,288
758,afternoon,275
759,afternoon,285
760,afternoon,308
761,afternoon,301
762,afternoon,309
763,afternoon,277
764,afternoon,297
765,afternoon,320
766,afternoon,291
767,afternoon,306
768,afternoon,273
769,afternoon,323
770,afternoon,302
771,afternoon,280
772,afternoon,275
773,afternoon,299
774,afternoon,299
775,afternoon,272
776,afternoon,326
777,afternoon,321
778,afternoon,295
779,afternoon,274
780,afternoon,317
781,afternoon,297
782,afternoon,311
783,afternoon,298
784,afternoon,284
785,afternoon,318
786,afternoon,327
787,afternoon,283
788,afternoon,302
789,afternoon,292
790,afternoon,324
791,afternoon,300
792,afternoon,322
793,afternoon,322
794,afternoon,286
795,afternoon,318
796,afternoon,295
797,afternoon,327
798,afternoon,301
799,afternoon,320
800,afternoon,288
801,afternoon,289
802,afternoon,307
803,afternoon,332
804,afternoon,301
805,afternoon,281
806,afternoon,305
807,afternoon,293
808,afternoon,306
809,afternoon,305
810,afternoon,300
811,afternoon,292
812,afternoon,284
813,afternoon,316
814,afternoon,308
815,afternoon,288
816,afternoon,321
817,afternoon,277
818,afternoon,319
819,afternoon,317
820,afternoon,324
821,afternoon,298
822,afternoon,315
823,afternoon,325
824,afternoon,335
825,afternoon,306
826,afternoon,278
827,afternoon,306
828,afternoon,312
829,afternoon,329
830,afternoon,330
831,afternoon,303
832,afternoon,309
833,afternoon,305
834,afternoon,321
835,afternoon,302
836,afternoon,317
837,afternoon,287
838,afternoon,306
839,afternoon,337
840,afternoon,299
841,afternoon,321
842,afternoon,318
843,afternoon,331
844,afternoon,331
845,afternoon,332
846,afternoon,302
847,afternoon,299
848,afternoon,324
849,afternoon,327
850,afternoon,334
851,afternoon,282
852,afternoon,284
853,afternoon,319
854,afternoon,338
855,afternoon,343
856,afternoon,327
857,afternoon,308
858,afternoon,287
859,afternoon,321
860,afternoon,336
861,afternoon,309
862,afternoon,325
863,afternoon,338
864,afternoon,285
865,afternoon,332
866,afternoon,301
867,afternoon,306
868,afternoon,292
869,afternoon,316
870,afternoon,319
871,afternoon,333
872,afternoon,294
873,afternoon,288
874,afternoon,339
875,afternoon,323
876,afternoon,299
877,afternoon,342
878,afternoon,293
879,afternoon,314
880,afternoon,301
881,afternoon,301
882,afternoon,286
883,afternoon,336
884,afternoon,343
885,afternoon,329
886,afternoon,296
887,afternoon,314
888,afternoon,308
889,afternoon,324
890,afternoon,327
891,afternoon,314
892,afternoon,303
893,afternoon,341
894,afternoon,300
895,afternoon,312
896,afternoon,318
897,afternoon,303
898,afternoon,324
899,afternoon,325
900,evening_ramp,358
901,evening_ramp,306
902,evening_ramp,361
903,evening_ramp,338
904,evening_ramp,310
905,evening_ramp,334
906,evening_ramp,346
907,evening_ramp,352
908,evening_ramp,299
909,evening_ramp,345
910,evening_ramp,338
911,evening_ramp,373
912,evening_ramp,325
913,evening_ramp,369
914,evening_ramp,355
915,evening_ramp,335
916,evening_ramp,361
917,evening_ramp,362
918,evening_ramp,368
919,evening_ramp,374
920,evening_ramp,371
921,evening_ramp,388
922,evening_ramp,372
923,evening_ramp,397
924,evening_ramp,377
925,evening_ramp,349
926,evening_ramp,363
927,evening_ramp,377
928,evening_ramp,392
929,evening_ramp,337
930,evening_ramp,357
931,evening_ramp,400
932,evening_ramp,349
933,evening_ramp,347
934,evening_ramp,386
935,evening_ramp,428
936,evening_ramp,389
937,evening_ramp,427
938,evening_ramp,421
939,evening_ramp,369
940,evening_ramp,424
941,evening_ramp,394
942,evening_ramp,427
943,evening_ramp,423
944,evening_ramp,386
945,evening_ramp,366
946,evening_ramp,450
947,evening_ramp,372
948,evening_ramp,454
949,evening_ramp,446
950,evening_ramp,434
951,evening_ramp,462
952,evening_ramp,463
953,evening_ramp,448
954,evening_ramp,406
955,evening_ramp,451
956,evening_ramp,374
957,evening_ramp,429
958,evening_ramp,422
959,evening_ramp,447
960,evening_ramp,448
961,evening_ramp,441
962,evening_ramp,468
963,evening_ramp,482
964,evening_ramp,397
965,evening_ramp,412
966,evening_ramp,391
967,evening_ramp,484
968,evening_ramp,452
969,evening_ramp,492
970,evening_ramp,419
971,evening_ramp,404
972,evening_ramp,488
973,evening_ramp,499
974,evening_ramp,435
975,evening_ramp,448
976,evening_ramp,420
977,evening_ramp,511
978,evening_ramp,442
979,evening_ramp,465
980,evening_ramp,422
981,evening_ramp,513
982,evening_ramp,430
983,evening_ramp,468
984,evening_ramp,494
985,evening_ramp,505
986,evening_ramp,530
987,evening_ramp,471
988,evening_ramp,510
989,evening_ramp,444
990,evening_ramp,476
991,evening_ramp,441
992,evening_ramp,488
993,evening_ramp,481
994,evening_ramp,547
995,evening_ramp,440
996,evening_ramp,482
997,evening_ramp,492
998,evening_ramp,555
999,evening_ramp,545
1000,evening_ramp,456
1001,evening_ramp,529
1002,evening_ramp,513
1003,evening_ramp,568
1004,evening_ramp,494
1005,evening_ramp,501
1006,evening_ramp,477
1007,evening_ramp,470
1008,evening_ramp,562
1009,evening_ramp,515
1010,evening_ramp,543
1011,evening_ramp,542
1012,evening_ramp,539
1013,evening_ramp,468
1014,evening_ramp,567
1015,evening_ramp,499
1016,evening_ramp,486
1017,evening_ramp,544
1018,evening_ramp,482
1019,evening_ramp,574
1020,evening_ramp,503
1021,evening_ramp,506
1022,evening_ramp,593
1023,evening_ramp,524
1024,evening_ramp,502
1025,evening_ramp,603
1026,evening_ramp,486
1027,evening_ramp,602
1028,evening_ramp,509
1029,evening_ramp,508
1030,evening_ramp,526
1031,evening_ramp,518
1032,evening_ramp,585
1033,evening_ramp,501
1034,evening_ramp,501
1035,evening_ramp,608
1036,evening_ramp,535
1037,evening_ramp,548
1038,evening_ramp,530
1039,evening_ramp,514
1040,evening_ramp,612
1041,evening_ramp,584
1042,evening_ramp,616
1043,evening_ramp,580
1044,evening_ramp,625
1045,evening_ramp,589
1046,evening_ramp,534
1047,evening_ramp,592
1048,evening_ramp,656
1049,evening_ramp,530
1050,evening_ramp,637
1051,evening_ramp,651
1052,evening_ramp,603
1053,evening_ramp,596
1054,evening_ramp,671
1055,evening_ramp,542
1056,evening_ramp,605
1057,evening_ramp,595
1058,evening_ramp,639
1059,evening_ramp,612
1060,evening_ramp,675
1061,evening_ramp,554
1062,evening_ramp,556
1063,evening_ramp,637
1064,evening_ramp,557
1065,evening_ramp,590
1066,evening_ramp,646
1067,evening_ramp,635
1068,evening_ramp,603
1069,evening_ramp,707
1070,evening_ramp,638
1071,evening_ramp,628
1072,evening_ramp,653
1073,evening_ramp,577
1074,evening_ramp,672
1075,evening_ramp,697
1076,evening_ramp,668
1077,evening_ramp,688
1078,evening_ramp,683
1079,evening_ramp,606
1080,evening_peak,644
1081,evening_peak,614
1082,evening_peak,628
1083,evening_peak,642
1084,evening_peak,637
1085,evening_peak,595
1086,evening_peak,638
1087,evening_peak,668
1088,evening_peak,630
1089,evening_peak,601
1090,evening_peak,700
1091,evening_peak,589
1092,evening_peak,687
1093,evening_peak,591
1094,evening_peak,591
1095,evening_peak,673
1096,evening_peak,682
1097,evening_peak,649
1098,evening_peak,652
1099,evening_peak,648
1100,evening_peak,618
1101,evening_peak,591
1102,evening_peak,620
1103,evening_peak,660
1104,evening_peak,670
1105,evening_peak,684
1106,evening_peak,665
1107,evening_peak,696
1108,evening_peak,649
1109,evening_peak,617
1110,evening_peak,645
1111,evening_peak,598
1112,evening_peak,654
1113,evening_peak,598
1114,evening_peak,583
1115,evening_peak,676
1116,evening_peak,615
1117,evening_peak,665
1118,evening_peak,640
1119,evening_peak,669
1120,evening_peak,673
1121,evening_peak,689
1122,evening_peak,669
1123,evening_peak,643
1124,evening_peak,646
1125,evening_peak,568
1126,evening_peak,681
1127,evening_peak,668
1128,evening_peak,597
1129,evening_peak,585
1130,evening_peak,650
1131,evening_peak,601
1132,evening_peak,604
1133,evening_peak,562
1134,evening_peak,669
1135,evening_peak,631
1136,evening_peak,610
1137,evening_peak,577
1138,evening_peak,637
1139,evening_peak,562
1140,evening_peak,650
1141,evening_peak,584
1142,evening_peak,609
1143,evening_peak,599
1144,evening_peak,602
1145,evening_peak,645
1146,evening_peak,651
1147,evening_peak,625
1148,evening_peak,565
1149,evening_peak,560
1150,evening_peak,573
1151,evening_peak,629
1152,evening_peak,635
1153,evening_peak,585
1154,evening_peak,633
1155,evening_peak,611
1156,evening_peak,605
1157,evening_peak,584
1158,evening_peak,642
1159,evening_peak,563
1160,evening_peak,601
1161,evening_peak,583
1162,evening_peak,631
1163,evening_peak,607
1164,evening_peak,628
1165,evening_peak,552
1166,evening_peak,594
1167,evening_peak,618
1168,evening_peak,546
1169,evening_peak,581
1170,evening_peak,570
1171,evening_peak,560
1172,evening_peak,574
1173,evening_peak,583
1174,evening_peak,543
1175,evening_peak,632
1176,evening_peak,563
1177,evening_peak,587
1178,evening_peak,625
1179,evening_peak,600
1180,evening_peak,640
1181,evening_peak,636
1182,evening_peak,547
1183,evening_peak,641
1184,evening_peak,543
1185,evening_peak,540
1186,evening_peak,647
1187,evening_peak,639
1188,evening_peak,605
1189,evening_peak,604
1190,evening_peak,620
1191,evening_peak,584
1192,evening_peak,548
1193,evening_peak,536
1194,evening_peak,572
1195,evening_peak,628
1196,evening_peak,606
1197,evening_peak,630
1198,evening_peak,640
1199,evening_peak,542
1200,evening_peak,630
1201,evening_peak,559
1202,evening_peak,599
1203,evening_peak,591
1204,evening_peak,575
1205,evening_peak,565
1206,evening_peak,568
1207,evening_peak,567
1208,evening_peak,547
1209,evening_peak,586
1210,evening_peak,540
1211,evening_peak,585
1212,evening_peak,631
1213,evening_peak,566
1214,evening_peak,609
1215,evening_peak,619
1216,evening_peak,618
1217,evening_peak,550
1218,evening_peak,540
1219,evening_peak,545
1220,evening_peak,591
1221,evening_peak,609
1222,evening_peak,597
1223,evening_peak,541
1224,evening_peak,609
1225,evening_peak,576
1226,evening_peak,606
1227,evening_peak,606
1228,evening_peak,570
1229,evening_peak,624
1230,evening_peak,582
1231,evening_peak,590
1232,evening_peak,588
1233,evening_peak,615
1234,evening_peak,587
1235,evening_peak,532
1236,evening_peak,522
1237,evening_peak,564
1238,evening_peak,548
1239,evening_peak,544
1240,evening_peak,519
1241,evening_peak,570
1242,evening_peak,547
1243,evening_peak,563
1244,evening_peak,517
1245,evening_peak,605
1246,evening_peak,519
1247,evening_peak,607
1248,evening_peak,606
1249,evening_peak,578
1250,evening_peak,565
1251,evening_peak,560
1252,evening_peak,570
1253,evening_peak,596
1254,evening_peak,607
1255,evening_peak,556
1256,evening_peak,596
1257,evening_peak,578
1258,evening_peak,540
1259,evening_peak,557
1260,late_drop,513
1261,late_drop,499
1262,late_drop,502
1263,late_drop,604
1264,late_drop,528
1265,late_drop,574
1266,late_drop,544
1267,late_drop,498
1268,late_drop,505
1269,late_drop,527
1270,late_drop,524
1271,late_drop,532
1272,late_drop,483
1273,late_drop,508
1274,late_drop,494
1275,late_drop,507
1276,late_drop,495
1277,late_drop,525
1278,late_drop,545
1279,late_drop,525
1280,late_drop,452
1281,late_drop,453
1282,late_drop,520
1283,late_drop,470
1284,late_drop,519
1285,late_drop,509
1286,late_drop,535
1287,late_drop,528
1288,late_drop,463
1289,late_drop,489
1290,late_drop,435
1291,late_drop,456
1292,late_drop,523
1293,late_drop,490
1294,late_drop,453
1295,late_drop,473
1296,late_drop,508
1297,late_drop,436
1298,late_drop,440
1299,late_drop,483
1300,late_drop,482
1301,late_drop,464
1302,late_drop,478
1303,late_drop,465
1304,late_drop,457
1305,late_drop,437
1306,late_drop,447
1307,late_drop,421
1308,late_drop,412
1309,late_drop,409
1310,late_drop,388
1311,late_drop,389
1312,late_drop,459
1313,late_drop,411
1314,late_drop,382
1315,late_drop,371
1316,late_drop,363
1317,late_drop,434
1318,late_drop,360
1319,late_drop,421
1320,late_drop,424
1321,late_drop,425
1322,late_drop,344
1323,late_drop,369
1324,late_drop,406
1325,late_drop,345
1326,late_drop,365
1327,late_drop,343
1328,late_drop,399
1329,late_drop,391
1330,late_drop,392
1331,late_drop,333
1332,late_drop,354
1333,late_drop,348
1334,late_drop,368
1335,late_drop,328
1336,late_drop,343
1337,late_drop,327
1338,late_drop,363
1339,late_drop,335
1340,late_drop,339
1341,late_drop,318
1342,late_drop,355
1343,late_drop,326
1344,late_drop,352
1345,late_drop,312
1346,late_drop,354
1347,late_drop,354
1348,late_drop,311
1349,late_drop,295
1350,late_drop,300
1351,late_drop,308
1352,late_drop,337
1353,late_drop,323
1354,late_drop,319
1355,late_drop,269
1356,late_drop,274
1357,late_drop,299
1358,late_drop,312
1359,late_drop,287
1360,late_drop,254
1361,late_drop,301
1362,late_drop,298
1363,late_drop,258
1364,late_drop,287
1365,late_drop,252
1366,late_drop,290
1367,late_drop,239
1368,late_drop,254
1369,late_drop,283
1370,late_drop,236
1371,late_drop,247
1372,late_drop,238
1373,late_drop,217
1374,late_drop,216
1375,late_drop,239
1376,late_drop,221
1377,late_drop,261
1378,late_drop,223
1379,late_drop,202
1380,late_drop,248
1381,late_drop,240
1382,late_drop,227
1383,late_drop,232
1384,late_drop,195
1385,late_drop,200
1386,late_drop,225
1387,late_drop,215
1388,late_drop,185
1389,late_drop,210
1390,late_drop,194
1391,late_drop,171
1392,late_drop,172
1393,late_drop,177
1394,late_drop,201
1395,late_drop,185
